capital;latETRS89;lonETRS89;altitude
A Coruña;43.37012643;-8.39114853;21
Albacete;38.99588053;-1.85574745;681
Alicante;38.34548705;-0.4831832;5
Almería;36.83892362;-2.46413188;16
Ávila;40.65586958;-4.69771277;1131
Badajoz;38.87874339;-6.97099704;182
Barcelona;41.38424664;2.17634927;13
Bilbao;43.25721957;-2.92390606;6
Burgos;42.34113004;-3.70419805;859
Cáceres;39.47316762;-6.37121092;457
Cádiz;36.52171152;-6.28414575;13
Castellón de la Plana;39.98640809;-0.03688142;27
Ceuta;35.88810209;-5.30675127;27
Ciudad Real;38.98651781;-3.93131981;625
Córdoba;37.87954225;-4.78032455;106
Cuenca;40.07653762;-2.13152306;997
Girona;41.98186075;2.82411899;69
Granada;37.17641932;-3.60001883;684
Guadalajara;40.63435548;-3.16210273;685
Huelva;37.26004113;-6.95040588;24
Huesca;42.14062739;-0.40842276;483
Jaén;37.7651913;-3.7903594;570
Las Palmas de Gran Canaria;28.09937855;-15.41336841;6
León;42.59912097;-5.56707631;837
Lleida;41.61527355;0.62061934;167
Logroño;42.46644945;-2.44565538;384
Lugo;43.0091282;-7.55817392;452
Madrid;40.40841191;-3.68760088;657
Málaga;36.72034267;-4.41997511;8
Melilla;35.294731;-2.942281;30
Murcia;37.98436361;-1.1285408;42
Ourense;42.33654919;-7.86368375;138
Oviedo;43.36232165;-5.84372206;231
Palencia;42.0078373;-4.53460106;734
Palma;39.57114699;2.65181698;24
Pamplona;42.814102;-1.6451528;450
Pontevedra;42.43381442;-8.64799018;16
Salamanca;40.96736822;-5.66538084;798
San Sebastián;43.31717158;-1.98191785;7
Santa Cruz de Tenerife;28.46285408;-16.24720629;1
Santander;43.46297885;-3.80474784;8
Segovia;40.9498703;-4.12524116;1002
Sevilla;37.38620512;-5.99251368;11
Soria;41.76327912;-2.46624798;1061
Tarragona;41.11910287;1.2584219;69
Teruel;40.34412951;-1.10927177;915
Toledo;39.85715187;-4.02431421;516
Valencia;39.47534441;-0.37565717;16
Valladolid;41.65232777;-4.72334924;690
Vitoria;42.85058789;-2.67275685;539
Zamora;41.49913956;-5.75494831;649
Zaragoza;41.65645655;-0.87928652;208
